location_code,sample_type,sample_location,sampling_freq,sampling_date,isotope_name,value,units,graph_value,comment
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-09-28,GROSS BETA,9.1+/-1.2,pCi/1000M3,9.1,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-10-05,GROSS BETA,4.2+/-0.8,pCi/1000M3,4.2,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-10-12,GROSS BETA,9.4+/-1.2,pCi/1000M3,9.4,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-10-19,GROSS BETA,6.5+/-1,pCi/1000M3,6.5,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-10-26,GROSS BETA,11+/-1.4,pCi/1000M3,11,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-11-02,GROSS BETA,8.4+/-1.2,pCi/1000M3,8.4,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-11-09,GROSS BETA,19+/-1.9,pCi/1000M3,19,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-11-16,GROSS BETA,9.4+/-1.2,pCi/1000M3,9.4,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-11-23,GROSS BETA,8.1+/-1.1,pCi/1000M3,8.1,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-11-30,GROSS BETA,9.6+/-1.3,pCi/1000M3,9.6,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-12-07,GROSS BETA,9.4+/-1.2,pCi/1000M3,9.4,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-12-14,GROSS BETA,26+/-2,pCi/1000M3,26,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-12-21,GROSS BETA,7.1+/-1.1,pCi/1000M3,7.1,
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2015-06-19,BERYLLIUM-7,70+/-30,pCi/L,70,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2015-06-19,CESIUM-137,2.3+/-1.6,pCi/L,2.3,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2015-06-19,GROSS ALPHA,6+/-4,pCi/L,6,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2015-06-19,GROSS BETA,26+/-4,pCi/L,26,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2015-06-19,RUTHENIUM-106,<5,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2015-06-19,TRITIUM (HTO),<160,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2015-06-19,ZIRCONIUM-95,<0.9,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2015-03-26,GROSS ALPHA,<1.2,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2015-04-03,GROSS ALPHA,1.4+/-1.3,pCi/L,1.4,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2015-03-26,GROSS BETA,2+/-1.2,pCi/L,2,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2015-04-03,GROSS BETA,3.3+/-1.4,pCi/L,3.3,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2015-03-26,TRITIUM (HTO),<90,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2015-04-03,TRITIUM (HTO),<80,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-01-03,GROSS BETA,7.7+/-1.1,pCi/1000M3,7.7,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-01-14,GROSS BETA,11.3+/-1.5,pCi/1000M3,11.3,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-01-22,GROSS BETA,11+/-1.4,pCi/1000M3,11,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-01-28,GROSS BETA,8.8+/-1.4,pCi/1000M3,8.8,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-02-19,GROSS BETA,12.2+/-1.2,pCi/1000M3,12.2,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-02-25,GROSS BETA,5.9+/-1.2,pCi/1000M3,5.9,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-03-04,GROSS BETA,8.6+/-1.3,pCi/1000M3,8.6,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-03-11,GROSS BETA,4.1+/-0.9,pCi/1000M3,4.1,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-03-18,GROSS BETA,7.8+/-1.2,pCi/1000M3,7.8,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-03-25,GROSS BETA,7+/-1.1,pCi/1000M3,7,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-04-01,GROSS BETA,7.8+/-1.2,pCi/1000M3,7.8,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-04-08,GROSS BETA,10.3+/-1.4,pCi/1000M3,10.3,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-04-15,GROSS BETA,7.7+/-1.2,pCi/1000M3,7.7,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-04-22,GROSS BETA,6.7+/-1.1,pCi/1000M3,6.7,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-04-29,GROSS BETA,9.4+/-1.3,pCi/1000M3,9.4,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-05-06,GROSS BETA,8.1+/-1.2,pCi/1000M3,8.1,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-05-13,GROSS BETA,5.6+/-1,pCi/1000M3,5.6,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-05-20,GROSS BETA,7.4+/-1.2,pCi/1000M3,7.4,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-05-28,GROSS BETA,5.9+/-1,pCi/1000M3,5.9,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-06-03,GROSS BETA,9.4+/-1.4,pCi/1000M3,9.4,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-06-10,GROSS BETA,4.7+/-1,pCi/1000M3,4.7,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-06-17,GROSS BETA,6.6+/-1.2,pCi/1000M3,6.6,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-06-25,GROSS BETA,7.3+/-1.1,pCi/1000M3,7.3,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-07-01,GROSS BETA,9.2+/-1.5,pCi/1000M3,9.2,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-07-08,GROSS BETA,4.5+/-1,pCi/1000M3,4.5,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-07-15,GROSS BETA,7.7+/-1.2,pCi/1000M3,7.7,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-07-22,GROSS BETA,21+/-2,pCi/1000M3,21,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-07-29,GROSS BETA,10.3+/-1.4,pCi/1000M3,10.3,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-08-05,GROSS BETA,14.8+/-1.7,pCi/1000M3,14.8,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-08-12,GROSS BETA,11.4+/-1.5,pCi/1000M3,11.4,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-08-19,GROSS BETA,11.9+/-1.5,pCi/1000M3,11.9,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-08-26,GROSS BETA,9.3+/-1.3,pCi/1000M3,9.3,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-09-03,GROSS BETA,10.7+/-1.4,pCi/1000M3,10.7,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-09-09,GROSS BETA,6.2+/-1.2,pCi/1000M3,6.2,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-09-16,GROSS BETA,13.1+/-1.6,pCi/1000M3,13.1,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-09-23,GROSS BETA,4.9+/-1,pCi/1000M3,4.9,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-09-30,GROSS BETA,3.5+/-0.8,pCi/1000M3,3.5,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-10-07,GROSS BETA,16.6+/-1.8,pCi/1000M3,16.6,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-11-01,GROSS BETA,8.6+/-1.3,pCi/1000M3,8.6,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-11-04,GROSS BETA,13.6+/-1.6,pCi/1000M3,13.6,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-12-02,GROSS BETA,8+/-1.3,pCi/1000M3,8,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-12-04,GROSS BETA,6.1+/-1.1,pCi/1000M3,6.1,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-12-09,GROSS BETA,14.9+/-1.7,pCi/1000M3,14.9,
5151-006,WATER,PECONIC RIVER AT MANORVILLE,BIANNUALLY,2013-01-22,CESIUM-137,<1.2,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,BIANNUALLY,2013-06-21,CESIUM-137,<1.1,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2013-01-02,GROSS ALPHA,<1.5,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2013-03-14,GROSS ALPHA,<0.7,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2013-05-03,GROSS ALPHA,<1,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2013-06-21,GROSS ALPHA,<1.6,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2013-01-02,GROSS BETA,12+/-3,pCi/L,12,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2013-03-14,GROSS BETA,3.6+/-1.8,pCi/L,3.6,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2013-05-03,GROSS BETA,5.8+/-1.8,pCi/L,5.8,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2013-06-21,GROSS BETA,24+/-4,pCi/L,24,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,BIANNUALLY,2013-01-22,POTASSIUM-40,134+/-4,pCi/L,134,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,BIANNUALLY,2013-01-22,RUTHENIUM-106,<12,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,BIANNUALLY,2013-06-21,RUTHENIUM-106,<11,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2013-01-02,TRITIUM (HTO),<160,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2013-03-14,TRITIUM (HTO),<130,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2013-05-03,TRITIUM (HTO),<100,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,MONTHLY,2013-06-21,TRITIUM (HTO),<70,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,BIANNUALLY,2013-01-22,ZIRCONIUM-95,<6,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-006,WATER,PECONIC RIVER AT MANORVILLE,BIANNUALLY,2013-06-21,ZIRCONIUM-95,<4,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2013-03-01,GROSS ALPHA,<0.6,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2013-04-22,GROSS ALPHA,<1.1,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2013-06-26,GROSS ALPHA,<0.7,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2013-07-17,GROSS ALPHA,<0.8,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2013-03-01,GROSS BETA,1.9+/-1.3,pCi/L,1.9,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2013-04-22,GROSS BETA,4.1+/-1.8,pCi/L,4.1,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2013-06-26,GROSS BETA,3.3+/-1.6,pCi/L,3.3,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2013-07-17,GROSS BETA,2.8+/-1.5,pCi/L,2.8,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2013-03-01,TRITIUM (HTO),<130,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2013-04-22,TRITIUM (HTO),<110,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2013-06-26,TRITIUM (HTO),<70,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-007,WATER,PECONIC RIVER AT BNL BOUNDARY,MONTHLY,2013-07-17,TRITIUM (HTO),<110,pCi/L,0,SAMPLING OCCURS SPORADICALLY AS PECONIC RIVER IS OFTEN DRY IN THIS AREA
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-12-30,GROSS BETA,10.9+/-1.5,pCi/1000M3,10.9,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2014-01-06,GROSS BETA,6.5+/-1.2,pCi/1000M3,6.5,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2014-01-13,GROSS BETA,11.5+/-1.6,pCi/1000M3,11.5,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2014-01-21,GROSS BETA,11.6+/-1.4,pCi/1000M3,11.6,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2014-01-27,GROSS BETA,20+/-2,pCi/1000M3,20,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2014-02-04,GROSS BETA,13.6+/-1.6,pCi/1000M3,13.6,
