nta_name,borough,nta_code,population,under_5_years,5-9_years,10-14_years,15-19_years,20-24_years,25-29_years,30-34_years,35-39_years,40-44_years,45-49_years,50-54_years,55-59_years,60-64_years,over_65_years,median_age,people_per_acre,households,"less_than_10,000",10000_to_14999,15000_to_24999,25000_to_34999,35000_to_49999,50000_to_74999,75000_to_99999,100000_to_149999,150000_to_199999,200000_or_more,median_income,mean_income
Co-Op City,Bronx,BX13,43752,2027,2018,2470,2744,2451,2156,2297,2481,2969,3493,3302,3078,2929,9337,45,51,18931,1525,1058,2025,2554,3042,3258,2393,1907,789,380,45277,60134
College Point,Queens,QN23,24275,1576,1401,1421,1494,1721,1757,1988,1840,1737,1861,1769,1576,1219,2915,37,21.1,7731,408,187,853,641,1155,1451,1300,1044,427,265,58420,73641
Corona,Queens,QN25,57658,4490,3874,3391,3907,4883,5424,5053,4563,4054,3804,3541,2917,2389,5368,33,124.6,16785,1451,1048,2157,1943,2850,3114,2065,1638,325,194,44026,54614
Crotona Park East,Bronx,BX75,20277,1733,1636,1614,1869,1813,1519,1310,1308,1412,1334,1230,961,773,1765,30,53.6,7104,1749,983,1050,727,937,1063,241,281,53,20,22557,33243
Crown Heights North,Brooklyn,BK61,103169,6871,6338,6786,7495,8844,9779,8460,7198,7141,7060,6782,5473,4504,10438,33,87,41641,6423,3683,5231,4543,5901,6692,3927,3466,1089,686,37104,51519
Crown Heights South,Brooklyn,BK63,39670,3002,2573,2607,2833,3676,3544,2906,2467,2422,2476,2537,2262,1894,4471,33,108.1,14696,1714,1290,1621,1719,2259,2348,1818,1299,335,293,41745,54671
Cypress Hills-City Line,Brooklyn,BK83,49223,3704,3654,3912,4432,4316,3895,3435,3328,3641,3527,3169,2644,1877,3689,31,77.9,13672,2235,814,1662,1440,2005,2392,1320,1297,311,196,40432,51841
Douglas Manor-Douglaston-Little Neck,Queens,QN45,24739,1086,1303,1423,1280,1173,1217,1355,1591,1709,1955,2000,1965,1842,4840,46,15.5,9562,357,235,523,788,777,1506,1700,1999,880,797,83749,102533
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,BK38,34495,2255,1532,1550,1669,2264,3986,4424,3565,2781,2333,1896,1676,1483,3081,35,53.6,16263,1538,802,1351,805,1317,1674,1620,2587,1569,3000,84945,123292
Dyker Heights,Brooklyn,BK30,42419,2434,2428,2412,2546,2771,3157,3005,2947,3107,3222,3081,2709,2303,6297,39,61.8,15100,875,793,1933,1600,1704,2909,1676,2054,771,785,54752,73763
East Concourse-Concourse Village,Bronx,BX14,62284,5160,4703,4657,5267,4944,4454,4332,4108,4271,4333,3758,3212,2618,6467,32,148.8,22081,4410,2339,3366,2816,3091,3225,1465,933,333,103,27883,39310
East Elmhurst,Queens,QN27,23150,1621,1479,1431,1816,1944,2030,1761,1655,1710,1623,1488,1237,958,2397,33,52.2,6311,527,211,617,730,1004,1173,860,766,295,128,51594,66284
East Flatbush-Farragut,Brooklyn,BK91,50355,2827,2828,3231,3569,3610,3681,3379,3287,3204,3635,3714,3572,2954,6864,38,63.9,18127,1451,780,1784,1880,3024,3287,2487,2299,766,369,50889,63993
East Flushing,Queens,QN52,26982,1350,1318,1281,1602,2048,2108,1962,1958,1916,2191,2352,1875,1469,3552,40,39.9,8421,732,410,853,739,1151,1329,1080,1386,425,316,55971,70852
East Harlem North,Manhattan,MN34,58019,3727,3662,3998,4794,5150,4947,4378,3997,3875,3846,3579,2790,2440,6836,33,101.1,23111,5242,2674,3323,2463,2926,2799,1533,1078,628,445,26099,43684
East Harlem South,Manhattan,MN33,57902,3288,3231,3302,4308,5274,5601,4665,3844,3775,3761,3581,2981,2686,7605,34,148.7,22937,3638,2461,2744,2455,2818,3043,1566,2042,733,1437,35857,70668
East New York,Brooklyn,BK82,91958,6967,7161,7514,8555,7603,6663,5906,5739,6215,6563,5830,4635,4185,8422,31,34.5,31286,6516,2429,3860,3621,4500,4615,2772,2040,578,355,32973,44574
East New York (Pennsylvania Ave),Brooklyn,BK85,29343,2423,2372,2417,2716,2596,2154,1925,1796,1939,2134,1932,1404,1141,2394,30,65.8,9978,2301,872,1335,871,1380,1301,750,912,194,62,29527,42975
East Tremont,Bronx,BX17,43423,3753,3702,3836,4366,3516,3138,2807,2675,3005,2870,2549,1913,1594,3699,29,97.5,14415,3756,1822,2568,1703,1583,1595,635,581,116,56,20879,32330
East Village,Manhattan,MN22,44136,862,617,598,3259,7381,7720,5090,3376,2720,2463,2221,2145,1670,4014,31,176.5,22326,2089,888,2072,1524,1702,3160,3057,3201,2155,2478,72665,100130
East Williamsburg,Brooklyn,BK90,34158,1342,1138,1307,1589,3351,5662,4232,2559,2057,1850,1830,1629,1471,4141,33,38.1,15410,1322,1375,1902,1426,1610,2243,1693,2219,1002,618,50777,69329
Eastchester-Edenwald-Baychester,Bronx,BX03,34517,2225,2436,2568,3194,2684,2344,2064,2016,2413,2724,2398,2018,1755,3678,34,37.6,11261,1290,731,1136,1030,1416,2068,1547,1344,448,251,50334,61013
Elmhurst,Queens,QN29,88427,5588,4970,4432,5050,7265,8837,8030,7333,6804,6510,5908,5022,4079,8599,35,117.9,27648,1977,1657,3492,3376,3767,5673,2617,3172,1037,880,47863,63971
Elmhurst-Maspeth,Queens,QN50,25521,1486,1455,1327,1314,1895,2496,2344,2182,1922,1931,1725,1447,1239,2758,36,50.9,8290,512,337,667,849,1307,2047,958,905,302,406,55881,69300
Erasmus,Brooklyn,BK95,29938,2019,2010,1933,2161,2463,2384,2122,2018,2019,2222,2132,1783,1576,3096,35,89.8,9930,1228,719,1359,1159,1309,1756,1102,837,286,175,40681,54449
Far Rockaway-Bayswater,Queens,QN15,50058,4557,3846,3661,3939,3659,3674,3324,3009,2945,3003,2967,2792,2214,6468,33,40,16341,2730,1268,2197,1239,1696,2505,1831,1607,640,628,41916,59418
Flatbush,Brooklyn,BK42,105804,7560,6818,6843,7476,8342,8879,8137,7629,7113,7177,7338,6547,5359,10586,34,101.9,37722,4049,2081,4135,4332,5513,7219,4292,3626,1421,1054,45332,60833
Flatlands,Brooklyn,BK58,64762,3894,4178,4487,5042,4877,4378,4086,4251,4215,4719,4892,4444,3687,7612,37,51.8,23386,1390,731,1901,2065,3054,4527,3164,3793,1721,1040,64519,78602
Flushing,Queens,QN22,72008,3236,3044,2739,3474,4861,5393,5182,5347,5746,6333,5951,5077,4124,11501,42,84.4,25739,3192,1924,3905,2788,3407,4443,2427,2266,851,536,39840,54684
Fordham South,Bronx,BX40,28262,2688,2444,2263,2590,2593,2372,2099,1908,2066,1934,1652,1218,930,1505,28,195.4,8572,1806,1172,1686,951,980,897,645,348,46,41,22662,35499
Forest Hills,Queens,QN17,83728,4660,3586,2951,3122,3978,6366,7389,6941,5868,5868,6094,5882,5560,15463,42,63,38748,2301,1871,3197,2622,4342,6838,4986,6411,3209,2971,67881,89805
Fort Greene,Brooklyn,BK68,26079,1548,1116,1163,1674,1932,2986,3067,2472,1808,1566,1378,1192,1179,2998,34,68.9,12062,1240,769,1142,1052,1169,1443,1619,1811,875,942,61990,86002
Fresh Meadows-Utopia,Queens,QN41,17812,1032,1048,962,1046,1109,1193,1107,1291,1291,1423,1403,1236,1153,2518,40,28,6538,468,282,433,522,809,994,1136,1011,462,421,69525,85876
Ft. Totten-Bay Terrace-Clearview,Queens,QN47,21751,986,827,847,871,809,1042,1325,1307,1412,1511,1726,1647,1685,5756,50,20.3,10016,625,277,916,707,946,1744,1328,1754,1019,700,71784,88757
Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,BK45,45231,2976,3112,2957,2741,2612,2562,2723,2966,2997,3201,3502,3140,3066,6676,40,27.2,16906,789,530,1262,1443,2003,2714,2385,3165,1505,1110,72158,91019
Glen Oaks-Floral Park-New Hyde Park,Queens,QN44,22571,845,857,967,1160,1176,1379,1402,1226,1293,1566,1672,1734,1537,5757,48,21.5,9127,331,286,740,635,1052,1418,1361,1938,773,593,76863,93343
Glendale,Queens,QN19,32496,1941,1890,1998,2149,2175,2381,2391,2313,2476,2543,2407,2000,1671,4161,38,47.3,11586,783,418,1211,913,1376,2063,1887,1828,697,410,64178,74969
Gramercy,Manhattan,MN21,27988,708,445,380,1794,3626,4811,3339,2207,1640,1451,1445,1375,1498,3269,33,163,14734,921,348,715,587,894,2044,1810,2325,2049,3041,100900,148602
Grasmere-Arrochar-Ft. Wadsworth,Staten Island,SI14,16079,937,990,1025,1023,1070,1070,1037,1055,1096,1214,1309,1102,1005,2146,39,16.3,5559,520,234,400,444,578,782,787,1197,362,255,69127,81634
Gravesend,Brooklyn,BK26,29436,1703,1543,1544,1912,2012,2151,1840,1885,1738,2075,2088,1972,1958,5015,40,40.2,11264,1565,1092,1631,1278,1453,1931,825,978,318,193,35550,53344
Great Kills,Staten Island,SI54,40720,2227,2389,2582,2657,2408,2360,2389,2697,2972,3319,3342,2872,2633,5873,41,19.6,15618,458,431,1107,904,1266,2357,2318,3630,1997,1150,88868,101538
Greenpoint,Brooklyn,BK76,34719,1199,970,959,1158,2834,6125,5128,3086,2217,1915,2141,1964,1624,3399,34,42.9,15491,1185,641,1267,1161,1537,2613,2504,2797,974,812,67928,81449
Grymes Hill-Clifton-Fox Hills,Staten Island,SI08,22460,1494,1446,1449,2195,2315,1681,1441,1432,1477,1675,1524,1315,1061,1955,32,25.8,7651,915,270,623,726,1154,1216,734,1325,374,314,52788,70606
Hamilton Heights,Manhattan,MN04,48520,2668,2388,2523,3232,4776,5219,4245,3515,3424,3384,3125,2687,2183,5151,34,132.1,18761,3099,1305,2225,2117,2335,2852,1940,1714,524,650,39019,58015
Hammels-Arverne-Edgemere,Queens,QN12,36885,2853,2834,2933,3106,2743,2375,2545,2439,2502,2634,2336,2001,1737,3847,33,25,12537,1861,912,1490,1446,1783,1912,1102,1394,395,242,39432,54854
Highbridge,Bronx,BX26,37727,3251,3091,3012,3367,3103,2909,2751,2515,2732,2780,2303,1785,1434,2694,30,101.1,12931,2512,1572,2734,1630,1668,1501,690,508,62,54,23334,35378
Hollis,Queens,QN07,20269,1160,1154,1319,1567,1672,1470,1281,1295,1409,1627,1549,1234,1109,2423,37,38.6,6265,495,267,561,559,723,1204,655,1086,492,223,59368,75975
Homecrest,Brooklyn,BK25,44316,3474,3065,2931,3020,3382,3372,2883,2763,2501,2663,2617,2673,2580,6392,35,64.4,15496,1479,1021,1832,1543,2185,2551,1611,1965,648,661,47882,69431
Hudson Yards-Chelsea-Flat Iron-Union Square,Manhattan,MN13,70150,2601,1646,1339,1891,6111,9675,8828,6684,6044,5331,4664,4070,3645,7621,37,82.4,41343,2439,1421,2694,2156,3422,4460,3866,6217,3957,10711,101369,182129
Hunters Point-Sunnyside-West Maspeth,Queens,QN31,63271,3449,2665,2459,2693,4407,7736,7779,6242,5243,4264,3871,3357,2871,6235,35,27,27397,1705,1325,2528,2486,3278,4824,3478,4052,1689,2032,61736,83022
Hunts Point,Bronx,BX27,27204,2270,2190,2262,2482,2525,2176,1924,1778,1810,1827,1521,1224,989,2226,29,24.2,8624,2022,1111,1541,1138,1140,1060,348,215,20,29,22572,32953
Jackson Heights,Queens,QN28,108152,6745,5855,5701,6302,7846,8811,9328,9017,8417,8006,7397,6600,5328,12799,37,98.2,36963,2686,1587,5067,4549,4943,6754,4955,4017,1304,1101,48869,63772
Jamaica,Queens,QN61,53751,3818,3468,3281,3650,4408,4571,4473,4031,4020,3836,3570,3121,2317,5187,34,49.5,16172,1549,1115,2407,2023,2647,2995,1363,1223,574,276,39763,53129
Jamaica Estates-Holliswood,Queens,QN06,25480,1279,1303,1334,1531,1842,1737,1667,1617,1734,1800,1916,1870,1726,4124,41,25.9,9329,382,204,799,764,1493,1589,1167,1421,844,666,65504,87871
Kensington-Ocean Parkway,Brooklyn,BK41,36891,2677,2680,2545,2647,2709,3090,2901,2749,2315,2335,2410,2153,1766,3914,34,101.1,12187,1166,962,1749,1237,1469,1908,1583,1290,535,288,45483,60412
Kew Gardens,Queens,QN60,23278,1368,1152,1029,1087,1334,2081,2265,1948,1693,1626,1623,1495,1410,3167,38,49.6,10106,409,426,924,947,1088,1997,1447,1632,758,478,65035,79705
Kew Gardens Hills,Queens,QN37,37479,3184,2224,1984,2270,3302,3403,2941,2352,2071,2224,2430,2324,2079,4691,34,42.9,13198,698,685,1323,1003,1586,2488,1618,2142,1066,589,61348,79114
Kingsbridge Heights,Bronx,BX30,32496,2603,2251,2288,2677,2739,2760,2362,2074,2139,2082,2034,1680,1351,3456,32,108,10400,1606,1075,1640,1331,1487,1587,1001,481,81,111,31330,42385
Laurelton,Queens,QN66,24453,1180,1404,1575,1787,1760,1431,1461,1406,1796,1955,1901,1576,1524,3697,41,26.9,8078,233,197,531,465,880,1278,1393,1760,933,408,83165,93025
Lenox Hill-Roosevelt Island,Manhattan,MN31,80771,4371,2648,1927,1624,5054,11182,10029,7096,5631,4900,4518,4555,4814,12422,37,157.8,43237,2572,1127,2026,2232,3032,5984,4880,7056,3654,10674,98797,157345
Lincoln Square,Manhattan,MN14,61489,3656,2036,1547,2104,3274,6009,6997,5709,4701,4003,3876,3707,3720,10150,40,165.7,31811,1998,824,1839,1207,1820,3088,2989,4721,3851,9474,120337,188144
Lindenwood-Howard Beach,Queens,QN57,26148,1256,1316,1277,1333,1297,1447,1680,1609,1780,1808,2026,1791,1881,5647,45,17.8,10796,422,571,870,782,1342,1827,1494,1621,1047,820,69112,90543
Longwood,Bronx,BX33,26196,2333,2138,2143,2271,2288,2232,1933,1704,1754,1697,1425,1177,903,2198,29,106.3,8607,2020,1078,1277,1050,975,1366,324,406,71,40,24214,35751
Lower East Side,Manhattan,MN28,72957,3406,3505,3747,4341,5721,6382,5419,4884,4780,4916,5006,4755,4141,11954,39,136.1,30853,4924,3669,4783,3184,2913,4138,1668,3082,807,1685,31273,61257
Madison,Brooklyn,BK44,38917,2312,2233,2243,2491,2679,2553,2396,2263,2402,2716,2921,2794,2676,6238,41,61.9,15103,1091,1071,1647,1311,1751,2669,1577,2381,776,829,55840,73705
Manhattanville,Manhattan,MN06,22950,1334,1394,1505,1863,2247,2188,1706,1527,1554,1569,1383,1163,974,2543,33,92.4,8082,1781,953,943,918,1303,917,599,421,168,79,29182,40748
Marble Hill-Inwood,Manhattan,MN01,46746,2812,2541,2769,3178,3752,4006,3750,3492,3482,3314,3230,3032,2387,5001,36,115.2,18470,2113,1337,2988,2181,2269,2823,2313,1464,678,304,39003,55232
Mariner's Harbor-Arlington-Port Ivory-Graniteville,Staten Island,SI12,31474,2357,2410,2631,2694,2442,2198,2128,2314,2384,2330,2225,1723,1341,2297,32,15.1,10038,1404,553,903,867,1049,1432,1472,1468,512,378,53441,68588
Maspeth,Queens,QN30,30516,1970,1799,1683,1713,1959,2341,2500,2427,2358,2184,2313,1863,1573,3833,38,37.3,10699,855,501,1065,1004,1406,2070,1518,1352,558,370,56689,70186
Melrose South-Mott Haven North,Bronx,BX34,39214,3290,3331,3225,3751,3358,3081,2713,2544,2628,2570,2210,1666,1443,3404,29,98.8,13657,3111,2040,2226,1839,1683,1445,573,569,81,90,22537,33135
Middle Village,Queens,QN21,37929,1938,1928,1850,1846,2005,2500,2674,2635,2832,2863,2935,2698,2315,6910,43,28.5,14997,910,731,1327,1155,1485,2392,2209,2853,1159,776,69763,82978
Midtown-Midtown South,Manhattan,MN17,28630,819,408,326,1328,3303,4552,3419,2469,1870,1768,1559,1582,1442,3785,35,41.3,15944,1382,797,927,766,1165,1107,1119,2390,1778,4513,114491,184315
Midwood,Brooklyn,BK43,52835,4006,3685,3824,4106,4038,3800,3053,2869,2823,3049,3304,3298,3091,7889,35,64.3,18672,2339,1575,2254,1909,2050,2768,1773,2002,908,1094,43687,72030
Morningside Heights,Manhattan,MN09,55929,2098,1849,1846,4827,10046,7417,4454,3197,2880,2795,2970,2791,2311,6448,30,120.2,19873,3128,1018,1979,1784,1482,2381,2009,2193,1385,2514,56371,96085
Morrisania-Melrose,Bronx,BX35,37865,3180,3155,3258,3560,3173,2884,2595,2552,2574,2644,2364,1811,1368,2747,30,97.7,13019,2631,1333,2341,1456,2044,1544,785,654,147,84,26339,39412
Mott Haven-Port Morris,Bronx,BX39,52413,4333,4251,4243,5168,4787,4089,3750,3241,3338,3364,2924,2225,1965,4735,29,55.1,17853,4238,2500,3757,1995,2091,1747,851,378,197,99,20334,31585
Mount Hope,Bronx,BX41,51807,4481,4102,4030,4578,4508,4144,3639,3446,3597,3707,3447,2670,1930,3528,30,153.5,16806,2707,2141,3280,2239,2501,2246,917,572,139,64,26195,36515
Murray Hill,Queens,QN51,51739,2539,2295,2254,2743,3236,3816,3759,3750,3751,4097,4331,3668,3201,8299,42,43.1,17665,1519,727,1665,2443,2151,2850,2140,2233,1031,906,52696,71925
Murray Hill-Kips Bay,Manhattan,MN20,50742,1520,897,739,1069,7591,9722,5772,3896,2858,2724,2600,2614,2568,6172,33,151.5,25629,1773,966,1331,1070,2119,3128,2702,4778,2526,5236,97458,137344
New Brighton-Silver Lake,Staten Island,SI35,17525,1095,1206,1168,1044,1098,1100,1116,1095,1220,1332,1441,1275,1042,2293,39,16.2,6161,420,87,530,460,604,931,796,1228,582,523,76522,93554
New Dorp-Midland Beach,Staten Island,SI45,21896,1266,1247,1272,1375,1504,1353,1332,1439,1647,1775,1827,1543,1326,2990,41,17.2,7709,358,252,577,608,881,1047,1060,1501,926,499,78100,92008
New Springville-Bloomfield-Travis,Staten Island,SI05,39597,2318,2391,2441,2629,2527,2507,2537,2569,2538,2773,2942,2880,2701,5844,40,5.6,13491,567,464,931,936,1343,2219,2011,2458,1584,978,78548,95129
North Corona,Queens,QN26,52037,4677,3776,2987,3466,5546,6365,5664,4776,3804,2968,2316,1689,1347,2656,29,125.9,12230,566,594,1639,1672,2136,2171,1534,1464,290,164,46568,59169
North Riverdale-Fieldston-Riverdale,Bronx,BX22,27860,1562,1216,1080,1867,1950,1512,1676,1640,1626,1627,1795,1892,1791,6626,44,24.4,10915,654,343,651,636,1138,1764,1742,1899,798,1290,78895,106887
North Side-South Side,Brooklyn,BK73,45774,3006,2368,2114,2397,4478,7449,6144,4262,2863,2256,1909,1753,1514,3261,31,69.6,21475,1904,1554,1831,2071,2038,3158,2292,2934,1642,2051,61381,89513
Norwood,Bronx,BX43,40494,3390,3085,2738,3011,3272,3791,3473,2946,2860,2818,2515,1944,1578,3073,31,112.2,14292,1996,1400,2064,1631,1821,2866,1189,961,238,126,35319,48157
Oakland Gardens,Queens,QN42,28237,1279,1463,1646,1613,1408,1551,1643,1914,2124,2374,2416,2193,1954,4659,44,24.5,11105,619,421,984,725,1087,1854,1624,2231,797,763,73060,87238
Oakwood-Oakwood Beach,Staten Island,SI25,22049,1103,1267,1402,1436,1204,1154,1221,1358,1654,1822,1733,1461,1413,3821,43,17,8130,368,237,775,702,604,1306,921,1674,960,583,76980,95325
Ocean Hill,Brooklyn,BK79,31935,2493,2387,2569,2760,2551,2482,2204,2131,2303,2350,2056,1549,1206,2894,32,69.3,12101,2061,1218,1824,1176,1790,2031,766,884,250,101,33125,45900
Ocean Parkway South,Brooklyn,BK46,20299,2088,1576,1519,1552,1629,1591,1321,982,1015,966,1070,1184,1132,2674,31,49.6,6720,677,421,850,582,809,982,697,884,375,443,50540,76465
Old Astoria,Queens,QN71,27814,1425,1385,1397,1596,2307,3737,3029,2431,2070,1741,1513,1255,1090,2838,33,76.7,11318,972,637,1340,1406,1707,1540,1255,1444,619,398,46840,66384
Old Town-Dongan Hills-South Beach,Staten Island,SI36,24835,1323,1373,1406,1575,1572,1688,1635,1737,1824,1996,1967,1737,1368,3634,40,16.1,8747,390,543,920,838,848,1465,1181,1464,689,409,63885,78983
Ozone Park,Queens,QN56,21376,1305,1322,1463,1621,1562,1526,1490,1477,1709,1647,1745,1268,1064,2177,36,37.1,7079,492,250,742,371,683,1561,1026,1203,480,271,65786,80029
