year,geography,total_households,"$9,999_or_less","$10,000_to_$14,999","$15,000_to_$24,999","$25,000_to_$34,999","$35,000_to_$49,999","$50,000_to_$74,999","$75,000_to_$99,999","$100,000_to_$150,000","$150,000_to_$199,999","$200,000_or_more",median_household_income,mean_household_income,mean_earnings,mean_soc_sec,mean_ret_income,mean_supp_sec_income,mean_cash_pub_income,food_stamp_benefits,population,pop_w_health_insurance,pop_w_private_health,pop_w_public_coverage,pop_no_health_insurance
2016,"Wyoming County, New York",15780,784,741,1681,1777,2337,3638,2362,1823,432,205,53612,63736,62073,18211,21172,9543,2647,1638,37655,35451,27934,13502,2204
2016,"Yates County, New York",9532,542,596,1013,1257,1349,1699,1212,1131,413,320,50105,67920,66642,18454,23036,8370,3008,1153,24747,19515,14444,8759,5232
2015,New York,7262279,569147,379134,713569,641022,848598,1189040,863158,1042528,468997,547086,59269,86825,91146,17985,25983,9301,3937,1120886,19427310,17550259,12753304,6932536,1877051
2015,"Albany County, New York",123451,7727,6381,11509,10786,15083,22735,16520,18825,7937,5948,59887,78816,80701,18710,28535,9187,3905,13864,303811,285636,236064,91499,18175
2015,"Allegany County, New York",18285,1261,1215,2419,2381,3181,3608,2150,1561,323,186,42776,53610,53091,17363,19043,9370,3240,3037,47597,43284,32250,18426,4313
2015,"Bronx County, New York",484902,78567,44912,68359,53837,64331,72761,42106,39252,12175,8602,34299,50191,56091,13946,20923,8816,3510,180609,1406091,1213943,606165,731648,192148
2015,"Broome County, New York",79132,6891,5014,10137,8629,11359,14298,8927,9232,2721,1924,46261,61133,62542,17910,21536,8968,3718,12537,195125,181497,134979,75938,13628
2015,"Cattaraugus County, New York",31635,2126,2310,4650,4003,4858,6115,3617,2882,636,438,42601,54628,55080,17162,18570,9498,2855,5570,78228,70235,52652,31156,7993
2015,"Cayuga County, New York",30972,1776,1632,3662,3176,4602,6474,3895,4024,1106,625,52082,63949,65689,18044,20006,9636,3346,4053,75997,69608,53969,27528,6389
2015,"Chautauqua County, New York",53546,4678,3715,7461,6257,8509,10113,6268,4548,1259,738,42993,54880,55152,17547,20721,9606,3858,9757,130012,120060,86505,53297,9952
2015,"Chemung County, New York",35167,2776,2131,4313,3713,4548,6899,4095,4337,1383,972,50320,65467,69360,17394,20081,9476,3465,5518,83978,78358,57776,32753,5620
2015,"Chenango County, New York",19641,1340,1337,2726,2312,2851,3993,2377,2057,437,211,45668,56345,57212,17403,18239,10227,3100,3401,48980,44585,32323,19926,4395
2015,"Clinton County, New York",31898,2336,1828,3807,3565,4434,6293,3895,3986,1124,630,49930,63228,63060,17639,24137,10147,3117,5837,77192,72447,56052,28869,4745
2015,"Columbia County, New York",25235,1388,1074,2330,2692,3202,4855,3439,3782,1231,1242,59105,78720,75942,18824,25199,8788,3276,2576,60471,56411,44233,22342,4060
2015,"Cortland County, New York",17935,1178,1098,2172,1815,2777,3485,2192,2063,831,324,49514,63133,63278,17140,20006,9003,3560,2582,48573,45397,36591,15331,3176
2015,"Delaware County, New York",19262,1544,1393,2777,2222,2916,3733,2006,2062,308,301,43720,55606,53456,17905,20334,8991,2380,2844,46366,42145,30967,19654,4221
2015,"Dutchess County, New York",106771,4615,4353,8441,8736,11104,18035,15112,19737,9359,7279,71904,90537,89688,19822,28303,10374,4777,10521,289320,267155,220818,84911,22165
2015,"Erie County, New York",382846,31827,22467,43167,39125,50173,68098,47827,51092,16517,12553,51247,67940,71792,17923,21688,9574,3769,62449,909999,857770,654339,332899,52229
2015,"Essex County, New York",15268,900,827,1435,1677,2436,3043,2245,1739,693,273,52758,65324,63268,18135,21902,9867,3156,1756,36689,33755,25968,14450,2934
2015,"Franklin County, New York",19148,1934,1348,2292,1844,2534,3781,2573,1985,515,342,47923,58774,60286,17389,25254,8935,3603,3286,46449,41675,29988,18816,4774
2015,"Fulton County, New York",22281,1662,1446,2748,2516,3427,4592,2368,2666,452,404,46969,58356,59948,16843,22172,8962,2505,3549,53767,48711,34517,22943,5056
2015,"Genesee County, New York",23938,1400,1439,2529,2641,3727,4925,3146,3105,685,341,50880,61549,61215,18399,19304,9997,3880,2729,58923,54375,43112,20423,4548
2015,"Greene County, New York",17634,1095,1005,2024,1913,2729,3158,2147,2525,598,440,50278,66557,69967,18200,25910,10390,3692,1804,45396,41960,32043,17216,3436
2015,"Hamilton County, New York",1376,114,80,147,165,208,287,150,138,48,39,48243,61069,57217,18691,25441,11051,3750,101,4736,4246,3461,1923,490
2015,"Herkimer County, New York",26130,1833,1741,3151,3017,4232,5152,3347,2687,558,412,46229,57466,57903,17422,19509,9867,4510,4617,63372,57939,41671,25800,5433
2015,"Jefferson County, New York",44306,3026,2577,4538,4955,7274,9679,5514,4848,1116,779,49505,60441,59835,17007,21755,8852,3366,7102,106421,97789,74215,38782,8632
2015,"Kings County, New York",931786,105997,63160,105190,89516,112708,148130,99552,110324,46922,50287,48201,71957,79169,15024,22188,9121,4093,223685,2585048,2274398,1329357,1121697,310650
2015,"Lewis County, New York",10539,638,618,1061,1277,1694,2114,1369,1289,276,203,49819,61986,63920,17566,19947,9568,2861,1651,26772,24111,18279,9674,2661
2015,"Livingston County, New York",24226,1617,1253,2658,2699,3413,4566,3518,3394,645,463,51734,62737,64687,18086,21405,9573,3578,3145,62337,58729,47658,20523,3608
2015,"Madison County, New York",26288,1759,1051,2613,2696,3939,5297,3652,3460,997,824,54145,68675,70984,18658,22033,9287,4035,3459,71788,67661,53192,24015,4127
2015,"Monroe County, New York",299764,23692,15637,31857,30728,41357,52631,37921,39869,14343,11729,52553,70955,74123,18744,20728,9749,3994,44109,742169,697148,542377,256368,45021
2015,"Montgomery County, New York",19539,1651,1496,2837,1964,2972,3576,2240,1886,588,329,43764,57536,57833,17075,19910,9517,3493,3868,49025,44670,30116,21909,4355
2015,"Nassau County, New York",440640,13360,10349,25256,24196,35926,58343,53783,90071,55557,73799,99465,129293,129033,21078,33436,11119,5400,22669,1344466,1243750,1069584,339631,100716
2015,"New York County, New York",750419,71430,39773,61948,50362,63071,94506,72568,100945,58474,137342,72871,135687,144465,16980,31749,8537,3807,104679,1618623,1474513,1089315,514332,144110
2015,"Niagara County, New York",87807,6509,4930,10565,10235,12008,16564,10973,10822,3351,1850,49449,63419,66581,18388,20285,9760,4107,12575,212045,198778,154542,78736,13267
2015,"Oneida County, New York",90844,7034,5702,11058,10388,12429,17489,10865,10214,3179,2486,48246,63857,65257,16970,23339,9187,3883,16091,225782,210962,149829,95220,14820
2015,"Onondaga County, New York",184641,14473,9768,18438,17802,24197,33998,23293,25653,9443,7576,55092,72139,75618,18254,23463,9798,3803,26300,463030,431964,338269,159354,31066
2015,"Ontario County, New York",44252,1735,1864,4835,4543,6166,8623,5986,6621,2131,1748,57416,75308,75634,19430,22742,9160,4021,4518,108183,100811,81597,36040,7372
2015,"Orange County, New York",125270,7076,5001,10197,9404,13224,20582,16595,23902,10763,8526,70848,89479,90035,19113,29760,10137,4359,13924,365674,336744,262796,113891,28930
2015,"Orleans County, New York",16016,1126,937,2248,1782,2423,3436,1833,1617,418,196,46359,56908,57716,17473,19638,10376,3048,2875,39378,36039,26715,16319,3339
2015,"Oswego County, New York",45300,3494,2415,5027,5566,6997,8321,6098,5176,1334,872,47860,60560,61679,18092,21970,9626,4013,7519,120399,111061,78051,49209,9338
2015,"Otsego County, New York",23636,1685,1396,2734,2692,3546,4963,2679,2571,784,586,48588,62240,60793,17578,22767,9382,2794,2603,60741,56234,43408,22039,4507
2015,"Putnam County, New York",34090,897,694,1886,2266,2392,4847,4642,7529,4318,4619,96148,117519,115745,21405,30969,11104,7025,1370,98830,91231,80946,22264,7599
2015,"Queens County, New York",780644,55878,35526,79184,70902,99201,140342,100799,115401,48489,34922,57720,75162,78330,16795,23545,8827,3964,110539,2286325,1928600,1245101,855293,357725
2015,"Rensselaer County, New York",63447,3751,2954,5714,5779,8375,11857,8486,10587,3780,2164,60709,75645,75965,18080,28029,9595,3504,7623,158130,149191,120739,50439,8939
2015,"Richmond County, New York",165784,12231,6274,13061,11299,16040,25908,22686,30938,15623,11724,73197,90236,95153,18912,31127,9652,3860,20874,468626,434826,329474,148209,33800
2015,"Rockland County, New York",98806,3804,4229,7861,5737,9253,13057,12888,18888,10434,12655,84855,108859,107351,21421,33823,9633,4970,10854,318078,290356,211899,114417,27722
2015,"St. Lawrence County, New York",41449,3648,2715,5282,4989,5948,8052,5068,3812,1149,786,44705,58676,59174,17144,21873,9151,4279,6979,108388,98031,72527,40987,10357
2015,"Saratoga County, New York",89921,3111,2802,6532,6745,10524,17333,13221,17671,6776,5206,71496,87951,88652,19791,27592,9981,3523,6637,220444,209699,182040,59645,10745
2015,"Schenectady County, New York",56760,3465,3113,5658,5073,7199,10915,8023,8445,2837,2032,58114,72662,73532,18550,26529,9758,4045,7520,153072,142516,109492,53752,10556
2015,"Schoharie County, New York",12409,733,725,1417,1332,1855,2453,1826,1414,397,257,51195,62802,62492,17991,24430,10645,1965,1523,31801,29565,22617,12210,2236
2015,"Schuyler County, New York",7686,518,483,927,816,1254,1559,912,925,228,64,47680,59578,59820,17426,22061,9865,3293,945,18089,16306,11667,7182,1783
2015,"Seneca County, New York",13561,864,662,1889,1401,2077,2503,1874,1638,410,243,49292,62828,62921,17204,20405,9881,3057,1572,32465,29115,22768,11662,3350
2015,"Steuben County, New York",41058,3016,2659,4707,4924,6222,8094,4992,4439,1123,882,47280,61543,63182,17673,21206,9400,4536,5773,97509,88410,64721,38950,9099
2015,"Suffolk County, New York",493849,17241,13282,30541,29844,44194,73491,67847,103081,56563,57765,88663,110577,111604,20307,32758,10593,4435,32108,1486195,1360772,1157115,389717,125423
2015,"Sullivan County, New York",28404,2166,1685,3341,2875,3965,5829,3356,3242,1109,836,50710,65585,67089,17983,23589,9335,4783,4055,74047,66167,46022,30664,7880
2015,"Tioga County, New York",19872,941,1042,2300,1910,2401,4283,2268,3050,940,737,57514,72680,73349,19691,19957,8977,2770,2390,49835,46223,36977,16918,3612
2015,"Tompkins County, New York",38460,4142,2162,3623,3724,4860,6671,4233,4764,2127,2154,52624,74288,75593,18835,27837,8826,3358,3675,102995,97258,82276,25624,5737
2015,"Ulster County, New York",69474,4163,3617,7180,6944,8252,12470,8906,10618,4114,3210,58918,77109,77446,17916,24528,9398,4388,8512,176979,160428,123840,61437,16551
2015,"Warren County, New York",26788,1573,1629,2619,2536,3456,5760,3477,3517,1230,991,56798,71951,69846,18951,30309,9540,3015,3307,64588,59285,46873,23605,5303
2015,"Washington County, New York",24237,1294,1378,2787,2638,3759,5293,3267,2640,774,407,51143,61813,59319,18360,21382,8943,3542,3605,59719,54432,40901,23479,5287
2015,"Wayne County, New York",36476,1956,1825,3881,4997,5254,7037,5155,4438,1282,651,50798,63372,64042,18602,19855,9442,3840,4479,91351,83783,64873,31677,7568
2015,"Westchester County, New York",341866,17128,11592,25071,23471,31699,46694,36847,55603,33262,60499,83958,134714,138705,20652,32751,9146,4125,29773,954315,862706,701967,267288,91609
2015,"Wyoming County, New York",15787,777,752,1818,1854,2293,3554,2269,1873,423,174,52564,62150,60068,18009,21468,9003,2703,1714,37747,34987,27935,12914,2760
2015,"Yates County, New York",9725,580,661,974,1139,1560,1787,1275,1068,392,289,49510,65445,62814,18151,25485,7715,3163,1290,24829,19818,14791,8716,5011
2014,New York,7255528,559519,384024,718436,649804,856304,1191846,870092,1036707,460201,528595,58687,85736,90041,17900,25809,9372,4110,1099161,19342657,17290103,12703988,6697058,2052554
2014,"Albany County, New York",122945,7710,6259,11395,10971,15290,22184,16173,19402,8024,5537,59940,78285,80563,18580,28534,9386,4307,13338,302507,281872,232774,89056,20635
2014,"Allegany County, New York",18407,1268,1333,2512,2343,3160,3545,2157,1547,343,199,42726,53827,52982,17240,18651,9474,3811,3077,47912,43200,32851,17666,4712
2014,"Bronx County, New York",480323,75594,45877,68265,54006,63405,72248,42744,38467,11721,7996,34284,49661,55488,13903,20906,8829,3470,178713,1390191,1184913,597594,706370,205278
2014,"Broome County, New York",79438,6683,5002,10108,8786,11761,14731,8978,8669,2693,2027,46368,60688,62174,17891,21527,9163,3972,11979,195859,180278,135171,73691,15581
2014,"Cattaraugus County, New York",31798,2054,2229,4586,3976,4989,6205,3817,2830,672,440,43503,55277,55050,17115,19471,9279,3186,4973,78632,69812,52841,30166,8820
2014,"Cayuga County, New York",30907,1847,1571,3675,3207,4628,6551,3838,3963,1060,567,51792,62824,64671,17763,19896,9563,3188,3748,76193,68988,53979,26942,7205
2014,"Chautauqua County, New York",54226,4746,3890,7445,6393,8615,10284,6292,4689,1267,605,42720,53971,54791,17320,20359,9822,3760,9435,130892,119606,87086,52640,11286
2014,"Chemung County, New York",35390,2559,2244,4780,3776,4414,6797,4208,4127,1497,988,49685,64707,67704,17639,19754,10360,3591,5358,84560,78200,58761,32199,6360
2014,"Chenango County, New York",19560,1379,1392,2531,2452,3095,3858,2348,1871,409,225,44427,55265,56219,17353,17304,10204,3417,3294,49298,44734,32230,19968,4564
2014,"Clinton County, New York",31976,2294,2061,3650,3446,4262,6208,4047,4090,1224,694,50985,64485,65101,17634,23493,10622,3082,5442,77317,72521,57522,27264,4796
2014,"Columbia County, New York",25095,1185,1083,2361,2679,3423,4637,3481,3920,1268,1058,58625,78941,75220,18636,24591,8674,3493,2298,60669,55762,44210,21369,4907
2014,"Cortland County, New York",18045,1235,1165,1998,2009,2844,3514,2257,1920,826,277,48404,61284,61694,16764,18014,9317,3267,2644,48733,45004,36078,15252,3729
2014,"Delaware County, New York",19370,1385,1346,2712,2425,2946,3655,2229,2052,371,249,44183,56099,53110,17845,20149,8750,2554,2462,46649,42130,32089,18100,4519
2014,"Dutchess County, New York",106898,4423,4207,8358,8633,11047,18401,15706,19655,9040,7428,72471,90923,90703,19900,27815,10138,5150,9751,289666,264963,223326,79398,24703
2014,"Erie County, New York",381783,30849,22161,43780,39716,50674,69629,47034,49421,16220,12299,51050,67277,70993,17974,21614,9650,3829,60327,908841,850893,658334,322945,57948
2014,"Essex County, New York",15571,875,827,1723,1758,2570,3018,2189,1698,617,296,50322,64341,61474,18158,21340,9847,3172,1762,36726,33319,25931,14010,3407
2014,"Franklin County, New York",19131,1667,1363,2406,1988,2651,3554,2678,1995,465,364,47110,58932,60429,17518,25048,8745,4114,3236,46483,41235,29881,18205,5248
2014,"Fulton County, New York",22440,1716,1377,2807,2657,3560,4356,2453,2670,455,389,45722,58147,59622,16615,22047,8909,2787,3501,53838,48226,34804,21954,5612
2014,"Genesee County, New York",23967,1265,1364,2507,2698,4002,4857,3152,3045,700,377,50573,63416,61908,18363,21805,9964,3807,2480,59101,53865,43471,19282,5236
2014,"Greene County, New York",18102,1136,1058,2044,2008,2830,3338,2172,2443,636,437,49864,65390,67570,18227,26403,11059,4942,1870,45568,41580,32695,16371,3988
2014,"Hamilton County, New York",1639,88,79,164,205,247,385,174,207,45,45,52939,63710,61051,18843,27123,11777,4778,87,4759,4313,3672,1735,446
2014,"Herkimer County, New York",26583,1798,2112,3189,3120,4177,5330,3355,2590,547,365,45649,56640,57473,16961,18591,9529,4734,4821,63626,57890,41507,26006,5736
2014,"Jefferson County, New York",44822,3010,2710,4742,5087,7465,9641,5455,4693,1123,896,48613,60174,59840,16954,21366,9317,3742,7424,106666,97447,74954,37302,9219
2014,"Kings County, New York",925371,105868,64435,105583,90627,116036,146880,98258,107225,45368,45091,46958,69599,77073,15039,21985,9218,4332,220205,2559666,2224009,1305891,1093168,335657
2014,"Lewis County, New York",10726,799,532,1217,1313,1867,2034,1340,1173,275,176,46990,59166,61538,17621,19735,10185,2870,1848,26775,23934,17983,9577,2841
2014,"Livingston County, New York",24242,1620,1162,2650,2639,3485,4539,3669,3347,736,395,52200,62604,63400,18258,21841,10057,3301,2995,62364,58580,48535,19090,3784
2014,"Madison County, New York",26407,1591,1236,2568,2678,4194,5505,3648,3192,973,822,53584,67771,69534,18398,21972,9417,5216,3228,72009,67311,54235,22457,4698
2014,"Monroe County, New York",298915,23360,15493,32036,31239,40865,53204,37713,39603,13916,11486,52501,70767,73674,18742,21379,10005,4143,42303,740836,691077,545687,244730,49759
2014,"Montgomery County, New York",19655,1621,1426,2682,2154,3006,3596,2219,2067,535,349,44167,58106,58831,16853,19872,9047,3948,3812,49188,43930,30298,20672,5258
2014,"Nassau County, New York",441912,13261,10301,25777,25062,36393,58338,54764,90226,54943,72847,98401,128206,128495,20937,32890,11128,5505,22275,1340244,1227201,1063801,327315,113043
2014,"New York County, New York",745089,71440,39207,62636,51331,64489,94112,73515,99567,56607,132185,71656,132838,141365,16800,30746,8642,4051,102202,1607222,1450115,1079969,501485,157107
2014,"Niagara County, New York",88252,6541,5100,10701,10228,12172,16688,10760,10887,3251,1924,49091,63175,66928,18226,20077,9657,4031,12828,212772,197464,155883,76432,15308
2014,"Oneida County, New York",90821,6885,5704,11019,10045,12527,17469,10884,10654,3451,2183,48931,63439,65517,16723,22858,9052,3777,15630,225534,209919,152301,91608,15615
2014,"Onondaga County, New York",185089,14572,10092,18837,18083,24012,34312,23260,25666,8890,7365,54498,71456,75081,18323,22932,9667,3540,25784,462500,426723,338629,153470,35777
